hostname;serial;version;uptime
S1;67108944;15.1(20140814:053243);6540
R3;67108912;15.4(2)T;6540
S3;67108976;15.1(20140814:053243);6540
R4;67108928;15.4(2)T;6540
S2;67108960;15.1(20140814:053243);6540
S4;67108992;15.1(20140814:053243);6540
